Batter,Average_Balls_Between_Boundaries
Mukhtar Ahmed,4.1395348837209305
Rafatullah Mohmand,4.239669421487603
Musadiq Ahmed,4.244897959183674
Kamran Akmal,4.309248554913295
Nauman Anwar,4.395348837209302
James Vince,4.492537313432836
Saim Ayub,4.535211267605634
Mohammad Haris,4.552631578947368
Sharjeel Khan,4.555555555555555
Jason Roy,4.598726114649682
Zeeshan Ashraf,4.627906976744186
Naseem Shah,4.714285714285714
Azam Khan,4.739130434782608
Alex Hales,4.8076923076923075
Kieron Pollard,4.810126582278481
David Wiese,4.811594202898551
Ben Cutting,4.818181818181818
Umar Akmal,4.853146853146853
Rilee Rossouw,4.892857142857143
Rovman Powell,4.948275862068965
Israrullah,4.98019801980198
Colin Munro,5.0
Faheem Ashraf,5.038167938931298
Sohaib Maqsood,5.038277511961723
Aamer Yamin,5.076923076923077
Awais Zia,5.08080808080808
Phil Salt,5.097560975609756
Imad Wasim,5.127777777777778
Qasim Akram,5.142857142857143
Muhammad Akhlaq,5.183333333333334
Sikandar Raza,5.1923076923076925
Amad Butt,5.2272727272727275
Khurram Manzoor,5.230769230769231
Mohammad Amir,5.230769230769231
Shaheen Shah Afridi,5.319148936170213
Haider Ali,5.3264248704663215
Umaid Asif,5.357142857142857
Fakhar Zaman,5.386308068459658
Tom Kohler-Cadmore,5.4743589743589745
Asif Ali,5.5
Ahmed Shehzad,5.507317073170731
Rohail Nazir,5.528301886792453
Mohammad Hafeez,5.532188841201717
Shadab Khan,5.534031413612565
Sherfane Rutherford,5.535714285714286
Ahsan Ali,5.553398058252427
Bilal Asif,5.6521739130434785
Khushdil Shah,5.714285714285714
Akbar-ur-Rehman,5.776119402985074
Babar Azam,5.788561525129983
Asad Shafiq,5.803921568627451
Bismillah Khan,5.8478260869565215
Rumman Raees,5.909090909090909
Iftikhar Ahmed,5.953488372093023
Sohail Akhtar,5.963963963963964
Anwar Ali,6.035294117647059
Shan Masood,6.055762081784387
Irfan Khan,6.068181818181818
Saud Shakeel,6.151898734177215
Agha Salman,6.1647058823529415
Umar Amin,6.208860759493671
Abdullah Shafique,6.328947368421052
Sahibzada Farhan,6.386666666666667
Sohail Khan,6.394736842105263
Wahab Riaz,6.410256410256411
Hussain Talat,6.459595959595959
Shoaib Malik,6.52734375
Mohammad Rizwan,6.5310173697270475
Mohammad Wasim,6.590909090909091
Kamran Ghulam,6.59375
Zain Abbas,6.609375
Sohail Tanvir,6.65
Danish Aziz,6.672131147540983
Hammad Azam,6.6923076923076925
Imam-ul-Haq,6.79874213836478
Sarfaraz Ahmed,6.85632183908046
Mohammad Nawaz,6.930232558139535
Hasan Ali,6.961538461538462
Haris Sohail,7.2926829268292686
Adil Amin,8.71111111111111
Saad Nasim,9.35135135135135
