Batter,Average_Consecutive_Pattern_Length
Aamer Yamin,3.7142857142857144
Abdullah Shafique,4.209039548022599
Adil Amin,5.433333333333334
Agha Salman,4.24468085106383
Ahmed Shehzad,4.385
Ahsan Ali,4.6875
Akbar-ur-Rehman,4.333333333333333
Alex Hales,4.251612903225807
Amad Butt,3.617021276595745
Anwar Ali,4.454545454545454
Asad Shafiq,4.352380952380952
Asif Ali,4.308510638297872
Awais Zia,4.569767441860465
Azam Khan,4.133333333333334
Babar Azam,4.033546325878595
Ben Cutting,3.8225806451612905
Bilal Asif,4.695652173913044
Bismillah Khan,4.1568627450980395
Colin Munro,4.021739130434782
Danish Aziz,5.1875
David Wiese,3.5303030303030303
Faheem Ashraf,4.304347826086956
Fakhar Zaman,4.560975609756097
Haider Ali,4.174603174603175
Hammad Azam,5.172413793103448
Haris Sohail,5.223404255319149
Hasan Ali,3.9444444444444446
Hussain Talat,4.604651162790698
Iftikhar Ahmed,4.761904761904762
Imad Wasim,3.798882681564246
Imam-ul-Haq,4.875706214689266
Irfan Khan,4.543478260869565
Israrullah,4.0638297872340425
James Vince,4.026785714285714
Jason Roy,4.069230769230769
Kamran Akmal,3.6677966101694914
Kamran Ghulam,4.79047619047619
Khurram Manzoor,4.2228260869565215
Khushdil Shah,4.571428571428571
Kieron Pollard,3.7866666666666666
Mohammad Amir,4.0588235294117645
Mohammad Hafeez,4.366812227074236
Mohammad Haris,3.4537037037037037
Mohammad Nawaz,5.062937062937063
Mohammad Rizwan,4.161490683229814
Mohammad Wasim,4.615384615384615
Muhammad Akhlaq,5.142857142857143
Mukhtar Ahmed,3.462962962962963
Musadiq Ahmed,4.771428571428571
Naseem Shah,3.875
Nauman Anwar,3.8904109589041096
Phil Salt,3.7674418604651163
Qasim Akram,3.441860465116279
Rafatullah Mohmand,3.6095238095238096
Rilee Rossouw,4.071895424836601
Rohail Nazir,4.339622641509434
Rovman Powell,3.6779661016949152
Rumman Raees,4.266666666666667
Saad Nasim,6.608695652173913
Sahibzada Farhan,4.473053892215569
Saim Ayub,3.7286821705426356
Sarfaraz Ahmed,4.761421319796955
Saud Shakeel,4.464285714285714
Shadab Khan,3.708920187793427
Shaheen Shah Afridi,4.7317073170731705
Shan Masood,4.3951890034364265
Sharjeel Khan,4.210810810810811
Sherfane Rutherford,4.175438596491228
Shoaib Malik,4.412371134020619
Sikandar Raza,4.098039215686274
Sohaib Maqsood,4.369565217391305
Sohail Akhtar,4.944444444444445
Sohail Khan,5.828571428571428
Sohail Tanvir,5.065217391304348
Tom Kohler-Cadmore,4.397435897435898
Umaid Asif,3.3636363636363638
Umar Akmal,4.352941176470588
Umar Amin,5.162337662337662
Wahab Riaz,5.184210526315789
Zain Abbas,4.552631578947368
Zeeshan Ashraf,4.051282051282051
